source_page,source_section,source_label,field_code,user_display_label,value_type,canonical_unit,sensitivity_class,app_surface,ingest_policy,user_confirmation_required,diagnostic_use_allowed,extraction_method,notes
2,계측검사,체질량지수,BMI,체질량지수,NUMERIC,kg/m2,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,허리둘레,WAIST_CIRCUMFERENCE,허리둘레,NUMERIC,cm,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,시력(좌/우),VISION_LEFT_RIGHT,시력(좌/우),NUMERIC_PAIR,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,청력(좌/우),HEARING_LEFT_RIGHT,청력(좌/우),NUMERIC_PAIR,dB,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,수축기 혈압,SYSTOLIC_BP,수축기 혈압,NUMERIC,mmHg,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,이완기 혈압,DIASTOLIC_BP,이완기 혈압,NUMERIC,mmHg,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,혈색소,HEMOGLOBIN,혈색소,NUMERIC,g/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,공복혈당,FASTING_GLUCOSE,공복혈당,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,총콜레스테롤,TOTAL_CHOLESTEROL,총콜레스테롤,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,고밀도 콜레스테롤,HDL_CHOLESTEROL,HDL 콜레스테롤,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,중성지방,TRIGLYCERIDES,중성지방,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,저밀도 콜레스테롤,LDL_CHOLESTEROL,LDL 콜레스테롤,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,혈청 크레아티닌,SERUM_CREATININE,혈청 크레아티닌,NUMERIC,mg/dL,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,신사구체여과율,EGFR,신사구체여과율(e-GFR),NUMERIC,mL/min/1.73m2,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,AST,AST,AST,NUMERIC,U/L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,ALT,ALT,ALT,NUMERIC,U/L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,혈액검사,감마지티피,GAMMA_GTP,감마지티피(γ-GTP),NUMERIC,U/L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,요검사,요단백,URINE_PROTEIN,요단백,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,영상검사,흉부촬영,CHEST_XRAY_RESULT,흉부촬영 결과,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,폐결핵 진단검사이며 폐암 선별검사가 아닙니다.
2,진찰(문진),과거병력,PAST_MEDICAL_HISTORY,과거병력,TEXT,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,진찰(문진),약물치료,CURRENT_MEDICATION,현재 약물치료,TEXT,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,성·연령별 검사,B형간염,HEPATITIS_B_RESULT,B형간염 검사,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,성·연령별 검사,C형간염,HEPATITIS_C_RESULT,C형간염 검사,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,정신건강검사,우울증,PHQ9_TOTAL,우울증 선별검사(PHQ-9),INTEGER,score,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,선별검사 결과이며 진단으로 표시하지 않습니다.
2,정신건강검사,조기정신증,EARLY_PSYCHOSIS_RESULT,조기정신증 선별검사,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,선별검사 결과이며 진단으로 표시하지 않습니다.
2,골밀도검사,골밀도,BONE_DENSITY_RESULT,골밀도 검사,NUMERIC_OR_CODE,T-score or mg/cm3,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,폐기능검사,FEV1,FEV1,1초노력호기량(FEV1),NUMERIC,L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,폐기능검사,FVC,FVC,노력성폐활량(FVC),NUMERIC,L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,폐기능검사,FEV1/FVC,FEV1_FVC_PERCENT,FEV1/FVC,NUMERIC,%,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,폐기능검사,FEV6,FEV6,6초노력호기량(FEV6),NUMERIC,L,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,폐기능검사,FEV1/FEV6,FEV1_FEV6_PERCENT,FEV1/FEV6,NUMERIC,%,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,인지기능검사,인지기능장애,KDSQC_TOTAL,인지기능 선별검사,INTEGER,score,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,선별검사 결과이며 진단으로 표시하지 않습니다.
2,노인기능평가,노인기능평가,OLDER_ADULT_FUNCTION_RESULT,노인기능평가,CODE_LIST,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
3,심뇌혈관질환 위험평가,평균 대비 발생 위험,CVD_RISK_RATIO,평균 대비 심뇌혈관질환 위험,NUMERIC,times,PERSONAL_HEALTH,MY_RESULTS,STORE_SOURCE_REPORTED_ONLY,True,False,VISUAL_REVIEW_IMAGE_PAGE,검진기관이 산출한 값을 가져오며 검증된 위험모형 없이 앱에서 재계산하지 않습니다.
3,심뇌혈관질환 위험평가,향후 10년 발생 확률,CVD_10Y_RISK,향후 10년 심뇌혈관질환 발생 확률,NUMERIC,%,PERSONAL_HEALTH,MY_RESULTS,STORE_SOURCE_REPORTED_ONLY,True,False,VISUAL_REVIEW_IMAGE_PAGE,검진기관이 산출한 값을 가져오며 확정 진단으로 해석하지 않습니다.
3,심뇌혈관질환 위험평가,심뇌혈관 나이,CARDIOVASCULAR_AGE,심뇌혈관 나이,INTEGER,years,PERSONAL_HEALTH,MY_RESULTS,STORE_SOURCE_REPORTED_ONLY,True,False,VISUAL_REVIEW_IMAGE_PAGE,
4,담배사용,흡연 상태,SMOKING_STATUS,흡연 상태,CODE,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,담배사용,니코틴 의존도 평가,NICOTINE_DEPENDENCE,니코틴 의존도,CODE,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,음주,음주 위험,ALCOHOL_RISK,음주 위험,CODE,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,운동,신체활동,PHYSICAL_ACTIVITY_ASSESSMENT,신체활동 평가,CODE_LIST,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,영양,영양 평가,NUTRITION_ASSESSMENT,영양 평가,CODE,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,비만,비만 평가,OBESITY_LIFESTYLE_ASSESSMENT,체중 관리 평가,CODE,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
4,생활습관 처방,상담·교육·약물·연계,LIFESTYLE_PRESCRIPTION,생활습관 처방,CODE_LIST,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,의료기관이 발행한 처방·연계 내용을 보존하며 앱이 새 치료를 제안한 것으로 표현하지 않습니다.
